##### bftga! (ode)  d4lorenz ::: Sat May  2 00:05:17 2015

#####                b               pm               pr                q                r
#####             2.67                5               10      5.329990234             4500
#
# sk  lk               q                r               x1               x2               x3               x4              wr1              wa1              wr2              wa2              wr3              wa3              wr4              wa4              tau  bftype
  30   2      5.342368164      4539.998047               0     -603.3054726      4672.508229      66.83050759     0.6133031099     0.9999954317     0.6133031099     0.9999954317     0.9999999991     0.9999999991    0.03345501821    0.03345501821     0.2186076129  bfnsa 0(D)
  31   2      5.343289795      4541.998047               0     -603.5810626      4674.530205      66.84352364     0.6136490945      1.000006764     0.6136490945      1.000006764     0.9999999998     0.9999999998    0.03348243301    0.03348243301      0.218558051  bfnsa 0(D)
  32   2      5.344205322      4543.998047               0     -603.8539244      4676.543804      66.85613393     0.6139808023     0.9999943514     0.6139808023     0.9999943514                1                1    0.03351128911    0.03351128911     0.2185086665  bfnsa 0(D)
  33   2      5.345126953      4545.998047               0     -604.1295936       4678.56586      66.86914874     0.6143261772      1.000006081     0.6143261772      1.000006081     0.9999999984     0.9999999984    0.03353868617    0.03353868617     0.2184591687  bfnsa 0(D)
  34   2       5.34604248      4547.998047               0     -604.4025314      4680.579532      66.88175776     0.6146572686     0.9999940796     0.6146572686     0.9999940796      1.000000002      1.000000002    0.03356752604    0.03356752604      0.218409848  bfnsa 0(D)
  35   2      5.346964111      4549.998047               0     -604.6782799      4682.601666      66.89477135     0.6150020366      1.000006206     0.6150020366      1.000006206     0.9999999988     0.9999999988    0.03359490527    0.03359490527     0.2183604142  bfnsa 0(D)
  36   2      5.347879639      4551.998047               0     -604.9512937      4684.615413      66.90737909     0.6153325146     0.9999946149     0.6153325146     0.9999946149                1                1    0.03362372889    0.03362372889     0.2183111573  bfnsa 0(D)
  37   2       5.34880127      4553.998047               0     -605.2271216      4686.637626      66.92039145     0.6156766787      1.000007136     0.6156766787      1.000007136     0.9999999981     0.9999999981    0.03365109018    0.03365109018     0.2182617874  bfnsa 0(D)
  38   2      5.349716797      4555.998047               0     -605.5002114      4688.651446      66.93299793     0.6160065463      0.999995954     0.6160065463      0.999995954     0.9999999989     0.9999999989    0.03367989746    0.03367989746     0.2182125942  bfnsa 0(D)
  39   2      5.350638428      4557.998047               0     -605.7761188      4690.673738      66.94600908     0.6163501093      1.000008868     0.6163501093      1.000008868                1                1    0.03370724067    0.03370724067     0.2181632879  bfnsa 0(D)
  40   2      5.351553955      4559.998047               0     -606.0492847      4692.687632      66.95861429     0.6166793693     0.9999980941     0.6166793693     0.9999980941     0.9999999997     0.9999999997    0.03373603154    0.03373603154     0.2181141582  bfnsa 0(D)
  41   2      5.352463379      4561.998047               0     -606.3230446       4694.70325      66.97129993     0.6170111266     0.9999923017     0.6170111266     0.9999923017     0.9999999996     0.9999999996    0.03376452298    0.03376452298     0.2180650312  bfnsa 0(D)
  42   2      5.353378906      4563.998047               0     -606.5985136      4696.723971      66.98422817     0.6173509895      1.000001033     0.6173509895      1.000001033      1.000000001      1.000000001    0.03379213099    0.03379213099     0.2180158492  bfnsa 0(D)
