##### bfnsn! (ode)  BZlr ::: Sun Nov  3 12:16:58 2019

#####              eps                f                q
#####              0.5     0.7212572531           0.0008
#
# sk  lk             eps                f               x0               x1              wr0              wa0              wr1              wa1              tau  bftype
 113   8     0.4897000977     0.7153625326    -8.048949755                0     0.9999994899     0.9999994899       1.00049675       1.00049675    0.02790704574  bftga 0(D)
 114   8     0.4896000977      0.715305434    -8.048839892                0     0.9999989473     0.9999989473      1.000310827      1.000310827    0.02790965374  bftga 0(D)
 115   9     0.4895000977     0.7152483381    -8.048726977                0     0.9996571763     0.9996571763      1.000003266      1.000003266    0.02791220661  bftga 0(D)
 116   8     0.4894000977     0.7151912447    -8.048617114                0     0.9999977669     0.9999977669      1.000144329      1.000144329    0.02791489865  bftga 0(D)
 117   9     0.4893000977     0.7151341538    -8.048498095                0     0.9999976295     0.9999976295      1.000392754      1.000392754    0.02791756354  bftga 0(D)
 118   8     0.4892000977     0.7150770655    -8.048388232                0     0.9999990539     0.9999990539       1.00040472       1.00040472     0.0279202011  bftga 0(D)
 119   8     0.4891000977     0.7150199797    -8.048278369                0     0.9999950645     0.9999950645      1.000185711      1.000185711    0.02792281115  bftga 0(D)
 120   9     0.4890000977     0.7149628965     -8.04815935                0     0.9999980861     0.9999980861      1.000412037      1.000412037    0.02792547764  bftga 0(D)
 121   8     0.4889000977     0.7149058158    -8.048049487                0     0.9999979236     0.9999979236      1.000405083      1.000405083    0.02792811661  bftga 0(D)
 122   8     0.4888000977     0.7148487377    -8.047939623                0     0.9999927522     0.9999927522      1.000165172      1.000165172    0.02793072789  bftga 0(D)
 123   9     0.4887000977     0.7147916621    -8.047820605                0     0.9999965913     0.9999965913      1.000371418      1.000371418    0.02793339595  bftga 0(D)
 124   8     0.4886000977     0.7147345891    -8.047710742                0     0.9999986379     0.9999986379      1.000341415      1.000341415     0.0279360363  bftga 0(D)
 125   9     0.4885000977     0.7146775186    -8.047597827                0     0.9996069986     0.9996069986      1.000000524      1.000000524    0.02793859208  bftga 0(D)
 126   9     0.4884000977     0.7146204507    -8.047484912                0     0.9995630199     0.9995630199      1.000000993      1.000000993    0.02794123316  bftga 0(D)
 127   9     0.4883000977     0.7145633854    -8.047365893                0     0.9999987897     0.9999987897      1.000448659      1.000448659    0.02794398852  bftga 0(D)
 128   8     0.4882000977     0.7145063225     -8.04725603                0     0.9999967435     0.9999967435      1.000394942      1.000394942    0.02794663073  bftga 0(D)
 129   9     0.4881000977     0.7144492623    -8.047143115                0     0.9996238522     0.9996238522      1.000001375      1.000001375    0.02794918763  bftga 0(D)
 130   9     0.4880000977     0.7143922045      -8.0470302                0       0.99955217       0.99955217      1.000001428      1.000001428    0.02795183052  bftga 0(D)
 131   9     0.4879000977     0.7143351494    -8.046911181                0      0.999998773      0.999998773      1.000417977      1.000417977    0.02795458866  bftga 0(D)
 132   8     0.4878000977     0.7142780968    -8.046801318                0     0.9999973012     0.9999973012      1.000335279      1.000335279    0.02795723266  bftga 0(D)
 133   9     0.4877000977     0.7142210467    -8.046688403                0     0.9995309579     0.9995309579        1.0000006        1.0000006     0.0279597906  bftga 0(D)
 134   9     0.4876000977     0.7141639992    -8.046569384                0     0.9999997835     0.9999997835      1.000379491      1.000379491     0.0279625508  bftga 0(D)
 135   8     0.4875000977     0.7141069542    -8.046459521                0     0.9999975648     0.9999975648      1.000275965      1.000275965    0.02796519612  bftga 0(D)
 136   9     0.4874000977     0.7140499118    -8.046340502                0     0.9999983943     0.9999983943      1.000400007      1.000400007    0.02796787086  bftga 0(D)
 137   8     0.4873000977      0.713992872    -8.046230639                0     0.9999987184     0.9999987184      1.000279531      1.000279531    0.02797051706  bftga 0(D)
 138   9     0.4872000977     0.7139358347    -8.046111621                0     0.9999982658     0.9999982658      1.000391391      1.000391391    0.02797319279  bftga 0(D)
 139   8     0.4871000977     0.7138787999    -8.046001757                0     0.9999968734     0.9999968734      1.000258074      1.000258074    0.02797583986  bftga 0(D)
 140   9     0.4870000977     0.7138217677    -8.045882739                0      0.999997839      0.999997839      1.000354903      1.000354903    0.02797851657  bftga 0(D)
 141   8     0.4869000977      0.713764738    -8.045772875                0     0.9999961819     0.9999961819       1.00020714       1.00020714    0.02798116449  bftga 0(D)
 142   9     0.4868000977      0.713707711    -8.045653857                0     0.9999961828     0.9999961828       1.00029117       1.00029117    0.02798384217  bftga 0(D)
 143   9     0.4867000977     0.7136506864    -8.045540942                0     0.9996388386     0.9996388386      1.000000993      1.000000993    0.02798643203  bftga 0(D)
